date,forecast_train_2022,ci_lower_2022,ci_upper_2022,forecast_train_2024,ci_lower_2024,ci_upper_2024
2025-01-01,38878.906828775784,29482.45278491034,48027.87764672868,3465.771121978252,0.0,11563.126039665596
2025-01-02,38981.59531398728,29709.692516636343,48421.45067980724,3396.7207914432306,0.0,12523.436815940866
2025-01-03,39080.17798291893,30367.061642810604,47864.53718297767,3327.316993205974,0.0,11652.720469223063
2025-01-04,39174.640499373374,29664.31440440759,48449.70241459738,3258.39429417952,0.0,11311.443260702381
2025-01-05,39343.5826358988,30434.61216593641,48680.8776524147,3190.5381172367993,0.0,11158.18436435735
2025-01-06,39431.74462977025,31088.195780411545,47988.73042654862,3124.8612656466066,0.0,11480.51416607912
2025-01-07,39512.963769668975,30152.568031554147,48480.9746368482,3061.492481977193,0.0,11463.95259032657
2025-01-08,39538.76933653764,30683.28108996204,47949.11049204301,2981.283423058049,0.0,11490.086902262066
2025-01-09,39606.82248554807,30307.76851966036,48316.48221733183,2925.345330818015,0.0,11583.318959612538
2025-01-10,39665.090925996694,30704.133629200256,48673.01087598843,2872.416202566578,0.0,11076.567496454894
2025-01-11,39714.29029041115,29809.548351070942,48625.938105565,2822.9170994792257,0.0,11062.664784601755
2025-01-12,39833.836310008075,31020.78240834988,48992.769477830756,2776.968519762979,0.0,11347.90006070434
2025-01-13,39869.3500857327,30946.39334529096,48350.83182814177,2735.175937501524,0.0,10698.212666050646
2025-01-14,39895.59224486686,30485.73307910478,49496.69136592964,2697.1283270584586,0.0,11178.238855905463
2025-01-15,39865.03470947944,30244.80573189734,48207.486313735564,2643.115842160586,0.0,10399.795830101117
2025-01-16,39876.27728185612,30932.991772823738,49331.59688389492,2613.677697947117,0.0,11588.094992002687
2025-01-17,39878.19952032477,30394.712243467675,49278.87116781883,2586.980814312578,0.0,10544.136412525657
2025-01-18,39872.38039489648,30603.79554344475,48814.38506426088,2562.887606103662,0.0,11087.911252864422
2025-01-19,39939.03040324568,30475.262602133582,48711.0569384982,2540.9835914745067,0.0,11247.394184032219
2025-01-20,39924.47894964509,30684.8363309007,49147.58848594783,2521.3736683568927,0.0,11354.358287624418
2025-01-21,39904.09322647381,30331.024238612838,48813.082992792064,2503.190638049007,0.0,10817.356370227688
2025-01-22,39830.83769849992,30492.91974381107,48548.677980314475,2466.3219201770835,0.0,10801.359819171128
2025-01-23,39803.68168357531,31407.015870843832,48236.247989900134,2450.9653039341197,0.0,10801.818591281037
2025-01-24,39771.74569890116,30397.60214328201,49038.56941701364,2435.0141170173365,0.0,11271.605482291663
2025-01-25,39736.7191605993,30467.411751787353,48415.178029946524,2418.1300517532327,0.0,10360.327072180857
2025-01-26,39778.794116063786,30122.951841576523,49082.673361721085,2399.7742081010438,0.0,11696.676880913743
2025-01-27,39744.1577121682,31662.66207550167,48110.037648566395,2380.0051291249893,0.0,11003.104566836368
2025-01-28,39707.91944452115,30707.36269416638,48635.43109160376,2357.987372694656,0.0,11092.75539720817
2025-01-29,39622.68200491938,30541.061675249905,47989.90125547793,2313.7165684695747,0.0,10515.283501846452
2025-01-30,39586.96285764988,30386.034433126886,49286.553148284605,2287.5718498450788,0.0,10716.839381958067
2025-01-31,39549.35678177165,30321.629524716216,49234.548198618606,2257.696125968197,0.0,11750.16134259229
2025-02-01,39510.97147877252,31100.84753844171,49045.70324733249,2224.0625538881322,0.0,10600.748608005335
2025-02-02,39551.380394691376,30767.665861310932,48288.1537284243,2186.497925052864,0.0,11230.102007597052
2025-02-03,39516.13490265157,30494.820163400946,47595.46509847935,2145.4719264240125,0.0,11280.525807138536
2025-02-04,39479.7113231014,30332.646219909635,48145.23713380775,2100.596030271415,0.0,10638.527868603162
2025-02-05,39394.10103638225,29679.03380446249,48208.915075176184,2032.33819245679,0.0,10767.692771443839
2025-02-06,39357.250276991464,30028.56297324348,47614.210490847385,1981.5644944097542,0.0,10642.341280364188
2025-02-07,39317.23934175193,30697.65202237899,48608.37184993183,1926.9084481654506,0.0,10312.023309751521
2025-02-08,39274.73285673784,30503.65410776306,47747.47018926477,1868.8265812792542,0.0,10741.6469411901
2025-02-09,39308.94486029122,29742.299871854415,48133.0153814913,1807.6112687764978,0.0,10516.06918703674
2025-02-10,39265.16052967177,30657.592723150792,48133.91290720346,1744.170015374443,0.0,9356.610962410969
2025-02-11,39217.689791943296,30163.998279262796,47897.51885691172,1678.5151691046874,0.0,9826.232701349752
2025-02-12,39118.46092470619,30969.780583308988,48243.38918709284,1591.4704518286921,0.0,10570.04398388647
2025-02-13,39065.46067811729,30026.16214172734,48233.027121788655,1524.2056212174093,0.0,10115.988703643956
2025-02-14,39006.91068433584,30102.661440582397,47472.3754415474,1455.6001323659837,0.0,9804.083972507835
2025-02-15,38943.711923148156,30370.96822814206,48005.711511499445,1386.2945306464405,0.0,9538.712189514938
2025-02-16,38955.4012105408,29766.80970321768,47851.272917807924,1316.7006211440344,0.0,9300.599646794677
2025-02-17,38887.661825871706,30054.243864455093,48730.12302533145,1247.779657870683,0.0,9953.160588245784
2025-02-18,38815.26387592322,29757.923957263785,48272.99536380543,1179.5325349435661,0.0,9376.452994234845
2025-02-19,38690.64291771966,29581.6610000207,47502.75311063636,1092.7083277195668,0.0,9448.560415801925
2025-02-20,38612.32383378483,29638.11941929185,48011.16275743655,1028.3424237043737,0.0,9080.452231423558
2025-02-21,38529.08022034397,29770.194449764862,48013.43766841325,965.1250016439567,0.0,9863.03138982189
2025-02-22,38442.361569078064,29242.231649784055,47328.9421659888,903.4584487593571,0.0,9254.924701585256
2025-02-23,38432.23272351077,29107.493271255553,46796.97765567513,843.474591866818,0.0,9478.217851942954
2025-02-24,38344.868227426094,29918.604481175964,47444.76808742212,785.8207925859285,0.0,10157.856122961159
2025-02-25,38255.47763835187,29683.667110364924,47172.41014175232,730.1586776400741,0.0,9457.066737108731
2025-02-26,38116.87076208441,28481.492606982658,46340.218731049594,656.8816284019924,0.0,8826.414791248751
2025-02-27,38027.87018311119,28596.056642537646,46246.80705997852,606.6620388926472,0.0,8516.990673658802
2025-02-28,37937.46166901594,28962.310393734115,46338.75363532385,557.8288692122035,0.0,8841.517825806239
2025-03-01,37847.21497474725,28342.744260675972,47063.51915635979,510.4338580583573,0.0,8885.462880444908
2025-03-02,37837.21969423832,28918.587079156503,47320.81245124796,464.2770546227177,0.0,9402.25225455229
2025-03-03,37753.578860147834,29210.06266551704,46553.947028728595,419.70052087970237,0.0,8495.100915662877
2025-03-04,37671.33636333605,29031.41764222604,46754.56717166289,376.09379724557357,0.0,9258.516074880274
2025-03-05,37543.04706264892,29438.04060330324,46575.8261237745,313.61710323423006,0.0,8500.701180608148
2025-03-06,37467.19679363297,28150.049939926765,46394.495748814705,272.7531588463005,0.0,8255.82078295181
2025-03-07,37392.36261283073,27997.080012219423,46974.843689573085,231.68806209133106,0.0,8681.37229156539
2025-03-08,37319.64549457293,28167.029957379134,45683.975130702966,190.37952849756965,0.0,8672.579378063236
2025-03-09,37328.61976092375,28425.187190958855,46546.62555325934,148.58312991028902,0.0,8334.455244952826
2025-03-10,37264.84153212368,28057.68098979594,46281.65303696921,106.64539548608383,0.0,8237.754354485936
2025-03-11,37202.79182166035,27683.8982351894,46042.57744908686,64.00741379528739,0.0,8077.931193338914
2025-03-12,37094.46267847334,27967.700992824466,45395.90036593346,0.9249859024273803,0.0,8533.603864209714
2025-03-13,37037.793110216124,28052.127510582537,46151.62646044752,0.0,0.0,8715.809534221104
2025-03-14,36980.84465694825,27320.992725712735,46091.98416889976,0.0,0.0,8596.599215641418
2025-03-15,36924.2483860506,27712.97313286339,46340.261338928765,0.0,0.0,7705.605302344563
2025-03-16,36947.16717705026,27584.184442561676,45862.37558884342,0.0,0.0,8649.497799205723
2025-03-17,36894.815217772426,28260.156701785345,45962.270451025375,0.0,0.0,8421.09458560029
