month,people_vaccinated_per_hundred,cfr_proxy
2021-01,1.6625,0.011965746819879107
2021-02,3.4625,0.028331243656803163
2021-03,8.262380952380951,0.023094756983006563
2021-04,18.25,0.010348177309395383
2021-05,32.14454545454545,0.009151012108532704
2021-06,46.61818181818182,0.005820685072316588
2021-07,61.06809523809524,0.001332904798729483
2021-08,72.8808695652174,0.007865284491212758
2021-09,78.4095238095238,0.017811991598212083
2021-10,79.6695,0.0129223402447682
2021-11,80.317,0.005410082593973889
2021-12,81.78944444444444,0.0025058856029378743
2022-01,85.05333333333334,0.0015098745871901967
2022-02,86.21055555555556,0.004918369356114214
2022-03,86.42999999999999,0.004465749772410559
2022-04,86.595,0.004651410336956103
2022-05,86.67500000000001,0.004346972305117798
2022-06,86.72999999999999,0.005213131804932645
2022-07,86.7825,0.008705536775899672
2022-08,86.814,0.018857595038711317
2022-09,86.845,0.011572887686660916
2022-10,86.86500000000001,0.00717806788135301
2022-11,86.88,0.007619746157845726
2022-12,86.904,0.010899474171229011
2023-01,86.91499999999999,0.01783469980362646
2023-02,86.92750000000001,0.018713042530564925
2023-03,86.94,0.012536607448056687
2023-04,86.94,0.010306422833879787
2023-05,86.95,0.00907468676772231
