date,variant,perc
2021-10-11,Other,0.0
2021-10-25,Alpha,0.0
2021-10-25,Delta,0.9993414553836022
2021-10-25,Omicron,0.0
2021-10-25,Other,0.00032927230819888045
2021-11-08,Alpha,0.00046274872744099955
2021-11-08,Delta,0.999537251272559
2021-11-08,Omicron,0.0
2021-11-08,Other,0.0
2021-11-22,Alpha,0.0
2021-11-22,Delta,0.9807035175879397
2021-11-22,Omicron,0.018492462311557788
2021-11-22,Other,0.00020100502512562814
2021-12-06,Alpha,0.0004957038995373431
2021-12-06,Delta,0.69216787838731
2021-12-06,Omicron,0.3065102445472571
2021-12-06,Other,0.0006609385327164573
2021-12-20,Alpha,0.0003837298541826554
2021-12-20,Delta,0.32041442824251726
2021-12-20,Omicron,0.6772831926323868
2021-12-20,Other,0.0007674597083653108
2022-01-03,Alpha,0.00018385732671446958
2022-01-03,Delta,0.11288839860268432
2022-01-03,Omicron,0.885273028130171
2022-01-03,Other,0.00036771465342893915
2022-01-17,Alpha,0.0
2022-01-17,Delta,0.050465070255293884
2022-01-17,Omicron,0.9491391252721155
2022-01-17,Other,0.0
2022-01-31,Alpha,0.0
2022-01-31,Delta,0.020025839793281652
2022-01-31,Omicron,0.9799741602067183
2022-01-31,Other,0.0
2022-02-14,Alpha,0.0002501250625312656
2022-02-14,Delta,0.0030015007503751876
2022-02-14,Omicron,0.9949974987493747
2022-02-14,Other,0.0017508754377188595
2022-02-28,Alpha,0.0
2022-02-28,Delta,0.004724409448818898
2022-02-28,Omicron,0.9921259842519685
2022-02-28,Other,0.0031496062992125984
2022-03-14,Alpha,0.0
2022-03-14,Delta,0.00530035335689046
2022-03-14,Omicron,0.9891468955073195
2022-03-14,Other,0.00530035335689046
2022-03-28,Alpha,0.0
2022-03-28,Delta,0.0009256402344955261
2022-03-28,Omicron,0.9953717988275224
2022-03-28,Other,0.002468373958654736
2022-04-11,Alpha,0.0
2022-04-11,Delta,0.0006568144499178982
2022-04-11,Omicron,0.9894909688013136
2022-04-11,Other,0.007881773399014778
2022-04-25,Alpha,0.0002469745616201531
2022-04-25,Delta,0.0002469745616201531
2022-04-25,Omicron,0.9923437885897752
2022-04-25,Other,0.0071622622869844405
2022-05-09,Alpha,0.0
2022-05-09,Delta,0.0002349072116513977
2022-05-09,Omicron,0.9894291754756871
2022-05-09,Other,0.010101010101010102
2022-05-23,Alpha,0.0
2022-05-23,Delta,0.0002620545073375262
2022-05-23,Omicron,0.9942348008385744
2022-05-23,Other,0.00550314465408805
2022-06-06,Alpha,0.0
2022-06-06,Delta,0.0
2022-06-06,Omicron,0.9906741273647749
2022-06-06,Other,0.009325872635225153
2022-06-20,Alpha,0.0
2022-06-20,Delta,0.0006685981724983285
2022-06-20,Omicron,0.9906396255850234
2022-06-20,Other,0.00869177624247827
2022-07-04,Alpha,0.0
2022-07-04,Delta,0.0
2022-07-04,Omicron,0.992154496077248
2022-07-04,Other,0.007644337155501911
2022-07-18,Alpha,0.00028145229383619476
2022-07-18,Delta,0.0014072614691809737
